word	tag	level_freq@a1	level_freq@a2	level_freq@b1	level_freq@b2	level_freq@c1	total_freq@total	nb_doc@a1	nb_doc@a2	nb_doc@b1	nb_doc@b2	nb_doc@c1	nb_doc@total	B2_Nya_Mål_3@b2	B2_På_svenska!_3@b2	B2_På_svenska!_3@total	B2_Nya_Mål_3@total	A2_Svenska_Utifrån@a2	A2_Svenska_Utifrån@total	B1_RIVSTART@b1	C1_Språkporten_123@c1	C1_Skrivtrappan@c1	B1_RIVSTART@total	C1_Språkporten_123@total	C1_Skrivtrappan@total	A2_RIVSTART@a2	B1_Svenska_Utifrån@b1	B2_RIVSTART@b2	B1_Svenska_Utifrån@total	A2_RIVSTART@total	B2_RIVSTART@total	A1_Nya_Mål_1@a1	A1_På_svenska!@a1	A1_Svenska_Utifrån@a1	A2_På_svenska!@a2	B1_Nya_Mål_2@b1	B1_På_svenska!_2@b1	B2_Språkporten_BAS@b2	A1_Svenska_Utifrån@total	B1_Nya_Mål_2@total	B2_Språkporten_BAS@total	B1_På_svenska!_2@total	A1_Nya_Mål_1@total	A2_På_svenska!@total	A1_På_svenska!@total	A2_Nya_Mål_1@a2	A2_Nya_Mål_1@total	B1_På_svenska!_3@b1	B1_På_svenska!_3@total	A1_RIVSTART@a1	A1_RIVSTART@total
ske	VB	0.0	0.0	70.9528	123.6899	258.213	99.4699	0.0	0.0	5.0	10.0	14.0	29.0	5.0	0.0	0.0	5.0	0.0	0.0	2.0	9.0	8.0	2.0	9.0	8.0	0.0	1.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sked	NN_UTR	0.0	0.0	12.4564	6.1296	13.2172	5.1854	0.0	0.0	2.0	1.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skeende	NN_NEU	0.0	0.0	0.0	6.1296	3.6699	2.345	0.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skelett	NN_NEU	0.0	0.0	0.0	15.4028	7.3397	5.979	0.0	0.0	0.0	2.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skelettfynd	NN_NEU	0.0	0.0	0.0	0.0	3.6699	0.2276	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sken	NN_NEU	0.0	0.0	0.0	12.2591	0.0	1.4411	0.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skena	NN_UTR	0.0	0.0	0.0	6.1296	0.0	0.7206	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skenhelighet	NN_UTR	0.0	0.0	0.0	0.0	13.2172	0.8196	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skepp	NN_NEU	0.0	0.0	34.6346	25.6189	13.2172	18.1403	0.0	0.0	3.0	2.0	1.0	6.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skeppshövding	NN_UTR	0.0	0.0	3.6601	0.0	0.0	0.2515	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skev	JJ	0.0	0.0	7.3203	0.0	0.0	0.5029	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skevhet	NN_UTR	0.0	0.0	0.0	0.0	13.2172	0.8196	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skick	NN_NEU	0.0	0.0	5.3395	2.4884	0.0	2.4675	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
skicka	VB	31.368	179.2832	168.5238	142.3748	247.1955	166.8905	1.0	4.0	9.0	11.0	9.0	34.0	4.0	1.0	1.0	4.0	0.0	0.0	3.0	10.0	5.0	3.0	10.0	5.0	6.0	2.0	3.0	2.0	6.0	3.0	1.0	0.0	0.0	0.0	3.0	2.0	4.0	0.0	3.0	4.0	2.0	1.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0
