word	tag	D@A1	F@A1	SFI@A1	U@A1	tf-idf@A1	D@A2	F@A2	SFI@A2	U@A2	tf-idf@A2	D@B1	F@B1	SFI@B1	U@B1	tf-idf@B1	D@B2	F@B2	SFI@B2	U@B2	tf-idf@B2	D@C1	F@C1	SFI@C1	U@C1	tf-idf@C1	D@TOTAL	F@TOTAL	SFI@TOTAL	U@TOTAL	tf-idf@TOTAL
ecologisch	ADJ()	-	-	-	-	-	-	-	-	-	-	0.0	1	21.063791036381787	0.012775535221722317	0.5108256237659907	0.1354147063195972	3	48.4720867806992	7.034102266150524	1.5324768712979722	0.0	1	52.683368015163225	18.54969620939336	0.5108256237659907	0.1950232129078461	5	44.35562412273816	2.7262294960504008	0.0
economicus	ADJ()	-	-	-	-	-	-	-	-	-	-	0.0	1	23.63205436810106	0.02307838620698225	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	14.121505457109125	0.0025831554715990634	0.0
economie	N(soort)	-	-	-	-	-	0.18002486524878292	3	45.371163738572086	3.4444221537864235	0.6694306539426294	0.3838895619087975	9	54.5873030548067	28.756121206128764	2.008291961827888	0.23372340764642327	3	50.60279244919765	11.48892104662254	0.6694306539426294	0.2442190502882155	4	63.97383331322363	249.6797560459693	0.8925742052568391	0.40565435488495927	19	53.30574756177913	21.40793395093353	0.0
economisch	ADJ()	-	-	-	-	-	-	-	-	-	-	0.43415212764817107	12	56.36862724531554	43.337387226126886	6.129907485191889	0.3178771151057488	8	56.12838130183631	41.00512406019366	4.086604990127926	0.0	3	57.116229396177324	51.478151018967374	1.5324768712979722	0.4082385273356569	23	54.16382451940508	26.0844961298482	0.0
economist	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	53.422033141857256	21.98889037839331	1.6094379124341003	0.0	1	16.64685740323808	0.004620465590568563	0.0
econoom	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	1	22.6661843942267	0.018476446100232812	0.9162907318741551	0.0	1	34.50050476478724	0.2818710520767929	0.9162907318741551	-	-	-	-	-	0.10147268954891664	2	37.57706325821929	0.5724088316338328	0.0
ecoplan	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	33.704864234588456	0.23468558961459854	1.6094379124341003	-	-	-	-	-	0.0	1	18.612430768303312	0.007265124763872367	0.0
ecoteam	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	33.704864234588456	0.23468558961459854	1.6094379124341003	-	-	-	-	-	0.0	1	18.612430768303312	0.007265124763872367	0.0
edel	ADJ()	-	-	-	-	-	0.2182984431130201	5	48.491129595947946	7.065012907021713	8.047189562170502	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1950232129078461	5	44.36741872984287	2.7336434766162365	0.0
edelachtbaar	ADJ()	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	7	42.260280122722335	1.6827825981254176	11.266065387038703	-	-	-	-	-	0.0	7	27.167846656437188	0.052093635343914445	0.0
edele	N(soort)	-	-	-	-	-	0.28395760967037353	8	51.59680387260953	14.44376411594268	12.875503299472802	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.25368172387229154	8	47.511368513187634	5.6381529269218404	0.0
edelman	N(soort)	-	-	-	-	-	0.2182984431130201	5	48.45902974753648	7.0129860457729745	8.047189562170502	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1950232129078461	5	44.3510769150535	2.723376536917805	0.0
edelsteen	N(soort)	-	-	-	-	-	0.2182984431130201	5	48.42387249082178	6.956443290600295	8.047189562170502	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.1950232129078461	5	44.333246634333186	2.7122184342799076	0.0
edelvrouw	N(soort)	-	-	-	-	-	0.0	1	24.870016981471675	0.030690339886845126	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	17.69472703474686	0.005881291475515725	0.0
editie	N(soort)	-	-	-	-	-	0.0	1	18.388687099010987	0.0069003117131207345	0.5108256237659907	0.12110367334688617	2	43.06546930909471	2.025568482815663	1.0216512475319814	0.14746305199023912	2	46.91011063670764	4.9092038221133745	1.0216512475319814	-	-	-	-	-	0.23561228872741274	5	45.15406824592722	3.2764747436465753	0.0
