	WORD	CEFR
358	apathetic	c1
359	apathy	c1
360	ape	a2
361	aperitif	b1
362	apocalypse	b1
363	apocalyptic	b1
364	apologetically	b2
365	apologise	b2
366	apologize	b1
367	apologizing	b1
368	apology	b1
369	apostrophe	a2
370	app	b1
371	appal	b2
372	apparatus	c1
373	apparent	c1
374	apparently	b2
375	appeal	c1
376	appealing	c1
377	appear	b2
378	appearance	b2
379	appetite	c1
380	appetizer	b1
381	apple	c1
382	appliance	c1
383	applicant	b2
384	application	b2
385	apply	b1
386	appoint	c1
387	appointment	b1
388	appreciate	b2
389	appreciation	c1
390	apprehend	c1
391	apprehension	c1
392	apprenticeship	b1
393	approach	c1
394	approachable	b2
395	appropriate	c1
396	appropriately	b1
397	approval	c1
398	approve	b2
399	approximately	c1
400	apron	c1
401	apt	b1
402	aquarium	a1
403	arab	b1
404	arabic	b1
405	arable	c1
406	arc	c1
407	arch	a2
408	archaeological	c1
409	archaeologist	c1
410	archaeology	b1
411	archeologist	a2
412	architect	a2
413	architectural	c1
414	architecture	b1
415	arctic	c1
416	are	b1
417	area	b1
418	argue	c1
419	argument	b1
420	aria	b2
421	arid	c1
422	arise	b2
423	aristocracy	c1
424	aristocrat	b2
425	aristocratic	b2
426	arithmetic	c1
427	arm	a2
428	armament	b2
429	armchair	c1
430	armed	b1
431	armful	c1
432	armor	c1
433	army	c1
434	arnica	b2
435	aroma	c1
436	around	c1
437	arouse	b2
438	arrange	b2
439	arrangement	b2
440	arrest	c1
441	arrival	c1
442	arrive	a2
443	arrogant	b2
444	arrogantly	b2
445	arrow	c1
446	arsenal	c1
447	art	c1
448	artefact	c1
449	arthritis	c1
450	article	c1
451	articulate	b2
452	artificial	b2
453	artificially	c1
454	artist	b1
455	artistic	c1
456	artwork	b1
457	as	c1
458	asap	c1
459	ascent	c1
460	ash	a2
461	ashamed	c1
462	asian	b1
463	aside	c1
464	ask	c1
465	asked	c1
466	asleep	a2
467	aspect	c1
468	aspiration	c1
469	aspirin	b2
470	assault	c1
471	assemble	c1
472	assembly	c1
473	assert	c1
474	assertive	a2
475	assess	c1
476	assessment	b2
477	asset	c1
478	assign	c1
479	assignment	b1
480	assist	c1
481	assistance	b2
482	assistant	b1
483	associate	c1
484	associated	c1
485	association	b2
486	assume	c1
487	assumption	c1
488	assurance	b2
489	assure	c1
490	asteroid	b2
491	asthma	c1
492	astonished	c1
493	astonishing	c1
494	astonishment	b2
495	astound	c1
496	astrology	b2
497	astronaut	b2
498	astronomer	b2
499	astronomical	b2
500	astronomy	a1
501	astute	c1
502	asylum	c1
503	at	a1
504	athlete	b1
505	athletic	c1
506	atm	b1
507	atmosphere	c1
508	atmospheric	c1
509	atom	b2
510	atomic	b2
511	atop	c1
512	attach	c1
513	attack	b2
514	attacker	b2
515	attempt	c1
516	attend	c1
517	attendant	b2
518	attention	b2
519	attentive	a1
520	attic	b2
521	attitude	c1
522	attorney	c1
523	attract	c1
524	attraction	b2
525	attractive	c1
526	attribute	c1
527	auction	c1
528	audience	b1
529	audio	b1
530	audition	b1
531	aunt	b1
532	auntie	c1
533	austerity	c1
534	australia	b1
535	australian	b1
536	austrian	c1
537	authentic	a1
538	authenticate	c1
539	authentication	c1
540	authenticity	c1
541	author	b1
542	authoritative	b2
543	authority	c1
544	auto	c1
545	autobiography	c1
546	autograph	b1
547	automate	a2
548	automatic	b2
549	automatically	b2
550	automotive	c1
551	autumn	c1
552	availability	b1
553	available	c1
554	avenue	a1
555	average	b2
556	avert	c1
557	avid	c1
558	avidly	b2
559	avocado	b1
560	avoid	b2
561	avoidance	c1
562	await	c1
563	awake	b1
564	awaken	b2
565	awakening	b2
566	award	b2
567	aware	c1
568	awareness	c1
569	away	b2
570	awful	b1
571	awfully	c1
572	awkward	c1
573	awkwardly	c1
574	ax	b2
575	axe	b2
576	ay	b1
577	ba	c1
578	babble	b1
579	babies	c1
580	baby	c1
581	babysit	c1
582	babysitter	b1
583	bachelor	c1
584	bachelorette	b2
585	back	a1
586	backdrop	c1
587	background	c1
588	backing	c1
589	backless	b1
590	backpack	a2
591	backside	b2
592	backstage	b2
593	backup	b1
594	backward	b1
595	backwards	c1
596	backwater	c1
597	backyard	a1
598	bacon	a1
599	bacteria	c1
600	bad	b1
601	badge	b2
602	badger	c1
603	badly	b2
604	badmouth	b2
605	baffle	b2
606	bag	b2
607	bagful	c1
608	baggy	a2
609	bagless	c1
610	bagpipe	b2
611	bail	c1
612	bake	b1
613	baker	a1
614	bakery	c1
615	balance	c1
616	balanced	c1
617	balcony	b1
618	bald	a2
619	ball	b1
620	balloon	b2
621	ballroom	b1
622	bam	c1
623	bamboo	b1
624	ban	b2
625	banana	a1
626	band	b1
627	bandage	c1
628	bandaged	c1
629	bandwaggon	c1
630	bandwagon	c1
631	bang	b2
632	bangladeshi	b1
633	bank	a2
634	banker	a1
635	banking	b1
636	banknote	c1
637	bankrupt	c1
638	banner	b2
639	baptism	a2
640	baptize	a2
641	bar	a1
642	barbecue	b1
643	barbeque	a2
644	barber	c1
645	barcode	b2
646	bare	c1
647	barefoot	c1
648	barely	c1
649	bargain	b1
650	bargaining	b1
651	barge	c1
652	bark	a1
653	barking	a2
654	barman	a2
655	barn	a2
656	barracks	c1
657	barrage	b2
658	barrel	b2
659	barren	c1
660	barricade	c1
661	barrier	c1
662	barroom	c1
663	basal	b1
664	base	c1
665	baseball	a1
666	basement	c1
667	basic	c1
668	basically	b2
669	basics	c1
670	basil	b1
671	basin	b2
672	basis	b2
673	bask	c1
674	basket	c1
